#NodeName,Shelf/Slot/Port,Equipment(Type),Wavelength(Lambda),Origin(Flag),Parameter,Actual Power,CTP Loss Threshold,DHI
Site2,1.0/16.0/,LINEWL,1542.94 (OUT-LINE Power),,,-16.0 (OPWR),,RED
Site2,1.0/17.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Gain,16.9,17.0,RED
Site2,1.0/17.0/6.0,LINE(OPT-AMP-17-C) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,1.0/2.0/6.0,LINE(OPT-EDFA-24) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,1.0/3.0/2.0,LINE(OPT-PRE) (COM TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,1.0/4.0/,LINEWL,1548.51 (COM Power),,,-21.6 (OPWR),,RED
Site3,1.0/4.0/,LINEWL,1546.92 (COM Power),,,-50.0 (OPWR),,RED
Site3,1.0/4.0/,LINEWL,1546.12 (COM Power),,,-21.5 (OPWR),,RED
Site3,1.0/4.0/,LINEWL,1543.73 (COM Power),,,-21.6 (OPWR),,RED
Site3,1.0/4.0/,LINEWL,1542.94 (COM Power),,,-21.5 (OPWR),,RED
Site3,1.0/4.0/11.0,LINE(80-WXC-C) (DROP TX),,IMPORTED,Channel Power,-11.3,-11.3,YELLOW
Site3,1.0/4.0/,LINEWL,1548.51 (DROP Power),,,-11.2 (OPWR),,RED
Site3,1.0/4.0/13.0,LINE(80-WXC-C) (COM RX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,1.0/4.0/,LINEWL,1548.51 (ADD Power),,,-5.8 (OPWR),,RED
Site3,2.0/2.0/1.0,LINE(OPT-EDFA-24) (COM RX),,IMPORTED,Channel LOS Threshold,-50.0,-27.5,RED
Site3,2.0/2.0/5.0,LINE(OPT-EDFA-24) (LINE RX),,IMPORTED,Channel LOS Threshold,-37.1,-21.0,RED
Site3,2.0/2.0/6.0,LINE(OPT-EDFA-24) (LINE TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
Site3,2.0/3.0/1.0,LINE(OPT-PRE) (COM RX),,IMPORTED,Channel LOS Threshold,-37.0,-22.0,RED
Site3,2.0/3.0/2.0,LINE(OPT-PRE) (COM TX),,IMPORTED,Channel Power,1.0,1.0,YELLOW
